DATABASE_ID,DRUGBANK_ID,DRUG_GROUPS,GENERIC_NAME,SMILES
DB00114,DB00114,approved; investigational; nutraceutical,Pyridoxal phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00116,DB00116,nutraceutical,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
DB00117,DB00117,investigational; nutraceutical,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O
DB00118,DB00118,approved; investigational; nutraceutical,Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
DB00119,DB00119,approved; investigational; nutraceutical,Pyruvic acid,CC(=O)C(O)=O
DB00120,DB00120,approved; investigational; nutraceutical,Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O
DB00121,DB00121,approved; investigational; nutraceutical,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB00122,DB00122,approved; nutraceutical,Choline,C[N+](C)(C)CCO
DB00123,DB00123,approved; nutraceutical,Lysine,NCCCC[C@H](N)C(O)=O
DB00125,DB00125,investigational; nutraceutical,Arginine,N[C@@H](CCCNC(N)=N)C(O)=O
DB00126,DB00126,approved; nutraceutical,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
DB00127,DB00127,experimental; nutraceutical,Spermine,NCCCNCCCCNCCCN
DB00128,DB00128,approved; nutraceutical,Aspartic acid,N[C@@H](CC(O)=O)C(O)=O
DB00129,DB00129,approved; nutraceutical,Ornithine,NCCC[C@H](N)C(O)=O
DB00130,DB00130,approved; investigational; nutraceutical,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O
DB00131,DB00131,approved; investigational; nutraceutical; withdrawn,Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB00132,DB00132,approved; investigational; nutraceutical,alpha-Linolenic acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
DB00133,DB00133,investigational; nutraceutical,Serine,N[C@@H](CO)C(O)=O
DB00134,DB00134,approved; nutraceutical,Methionine,CSCC[C@H](N)C(O)=O
DB00135,DB00135,approved; investigational; nutraceutical,Tyrosine,[H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O
DB00136,DB00136,approved; nutraceutical,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
