class,class_goc,converted_interaction,semantic_group_original,types_of_events,semantic_group
0,1,drug_a can cause a decrease in the absorption of drug_b resulting in a reduced serum concentration and potentially a decrease in efficacy.,PK - Absorption/Bioavailability (decrease),Pharmacokinetics, Absorption/Bioavailability 
1,2,drug_a can cause an increase in the absorption of drug_b resulting in an increased serum concentration and potentially a worsening of adverse effects.,PK - Absorption/Bioavailability (increase),Pharmacokinetics, Absorption/Bioavailability 
2,3,The absorption of drug_b can be decreased when combined with drug_a.,PK - Absorption/Bioavailability (decrease),Pharmacokinetics, Absorption/Bioavailability 
3,4,The bioavailability of drug_b can be decreased when combined with drug_a.,PK - Absorption/Bioavailability (decrease),Pharmacokinetics, Absorption/Bioavailability 
4,5,The bioavailability of drug_b can be increased when combined with drug_a.,PK - Absorption/Bioavailability (increase),Pharmacokinetics, Absorption/Bioavailability 
5,6,The metabolism of drug_b can be decreased when combined with drug_a.,PK - Metabolism (decrease),Pharmacokinetics, Metabolism 
6,7,The metabolism of drug_b can be increased when combined with drug_a.,PK - Metabolism (increase),Pharmacokinetics, Metabolism 
7,8,The protein binding of drug_b can be decreased when combined with drug_a.,PK - Protein binding,Pharmacokinetics, Protein binding
8,9,The serum concentration of drug_b can be decreased when it is combined with drug_a.,PK - Serum concentration/level (decrease),Pharmacokinetics, Serum concentration/level 
9,10,The serum concentration of drug_b can be increased when it is combined with drug_a.,PK - Serum concentration/level (increase),Pharmacokinetics, Serum concentration/level 
10,11,The serum concentration of the active metabolites of drug_b can be increased when drug_b is used in combination with drug_a.,PK - Serum concentration/level (increase),Pharmacokinetics, Serum concentration/level 
11,12,The serum concentration of the active metabolites of drug_b can be reduced when drug_b is used in combination with drug_a resulting in a loss in efficacy.,PK - Serum concentration/level (change),Pharmacokinetics, Serum concentration/level
12,13,The therapeutic efficacy of drug_b can be decreased when used in combination with drug_a.,PD - Efficacy (decrease),Pharmacodynamics, Efficacy 
13,14,The therapeutic efficacy of drug_b can be increased when used in combination with drug_a.,PD - Efficacy (increase),Pharmacodynamics, Efficacy 
14,15,drug_a may decrease the excretion rate of drug_b which could result in a higher serum level.,PK - Serum concentration/level (decrease),Pharmacokinetics, Serum concentration/level 
15,16,drug_a may increase the excretion rate of drug_b which could result in a lower serum level and potentially a reduction in efficacy.,PK - Serum concentration/level (increase),Pharmacokinetics, Serum concentration/level 
16,17,drug_a may decrease the cardiotoxic activities of drug_b.,PD - Cardiovascular hemodynamic (decrease),Pharmacodynamics, Cardiovascular hemodynamic 
17,19,drug_a may increase the hepatotoxic activities of drug_b.,PD - Hepatic toxicity (increase),Pharmacodynamics, Hepatic toxicity 
18,20,drug_a may increase the nephrotoxic activities of drug_b.,PD - Renal/electrolyte (increase),Pharmacodynamics, Renal/electrolyte 
19,21,drug_a may increase the neurotoxic activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
