class,drug_a,drug_b,pathway,feature_1,feature_2,feature_3
0,Aspirin,Warfarin,PK,0.12,1.30,0.44
0,Ibuprofen,Warfarin,PK,0.18,1.12,0.51
0,Naproxen,Warfarin,PK,0.15,1.24,0.49
0,Aspirin,Heparin,PK,0.11,1.05,0.47
1,Metformin,Insulin,PD,1.20,0.30,0.92
1,Metformin,Glipizide,PD,1.14,0.41,0.88
1,Insulin,Glipizide,PD,1.31,0.28,0.94
1,Metformin,Sitagliptin,PD,1.08,0.46,0.84
2,Simvastatin,Clarithromycin,PK,0.54,1.92,0.15
2,Atorvastatin,Clarithromycin,PK,0.61,1.84,0.22
2,Simvastatin,Erythromycin,PK,0.58,1.73,0.19
2,Lovastatin,Clarithromycin,PK,0.65,1.89,0.18
3,Fluoxetine,Tramadol,PD,1.92,0.82,1.41
3,Sertraline,Tramadol,PD,1.84,0.76,1.33
3,Fluoxetine,Codeine,PD,1.77,0.88,1.29
3,Paroxetine,Tramadol,PD,1.95,0.79,1.37
